Forville,FR,6.01,9.9,-1.46,74,1024,Clear,07:07 AM,03:53 PM,0.3,,10:51 AM,0
La Portanière,FR,12.41,13.38,10.34,60,1026,Clear,07:03 AM,04:01 PM,5.14,,10:51 AM,0
Wittenheim,FR,1.96,6.19,0.74,88,1031,Clear,07:15 AM,03:39 PM,2.14,,10:51 AM,1
Wattrelos,FR,5.58,6.81,4.92,92,1034,Mist,07:45 AM,03:43 PM,2.57,,10:51 AM,90
Vitré,FR,6.08,6.16,5.27,76,1030,Clear,07:51 AM,04:12 PM,5.29,,10:51 AM,10
Viry-Châtillon,FR,4.61,5.61,3.64,98,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Villeneuve-le-Roi,FR,4.61,5.58,3.62,98,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Vierzon,FR,2.3,4.29,1.35,60,1029,Clear,07:34 AM,04:03 PM,3.68,,10:51 AM,2
Verrières-le-Buisson,FR,4.27,5.37,3.23,98,1032,Fog,07:40 AM,03:55 PM,4.12,,10:51 AM,90
Arrondissement d'Antony,FR,4.56,5.48,3.51,98,1032,Mist,07:40 AM,03:55 PM,4.12,,10:49 AM,90
Vallauris,FR,11.42,14.73,9.89,52,1026,Clear,07:00 AM,03:57 PM,1.03,,10:50 AM,0
Tourcoing,FR,5.5,6.98,4.86,92,1034,Mist,07:45 AM,03:43 PM,2.57,,10:48 AM,90
Taverny,FR,4.63,5.29,3.79,97,1032,Mist,07:41 AM,03:54 PM,4.12,,10:51 AM,90
Soisy-sous-Montmorency,FR,4.87,5.57,4.07,94,1033,Clouds,07:41 AM,03:54 PM,5.14,,10:51 AM,90
Sin-le-Noble,FR,5.4,6.08,4.6,87,1033,Clouds,07:44 AM,03:45 PM,2.31,,10:51 AM,100
Sèvres,FR,4.26,5.31,3.16,98,1032,Fog,07:40 AM,03:55 PM,4.12,,10:51 AM,90
Salon-de-Provence,FR,6.95,7.87,3.71,66,1027,Clear,07:08 AM,04:04 PM,0,,10:51 AM,0
Saint-Ouen-sur-Seine,FR,4.77,5.55,3.99,96,1032,Fog,07:40 AM,03:55 PM,1.79,,10:51 AM,90
Saint-Fons,FR,1.37,3.11,0.18,93,1030,Mist,07:17 AM,03:58 PM,1.03,,10:51 AM,90
Saint-Avold,FR,3.01,4.36,1.5,99,1031,Clear,07:24 AM,03:36 PM,2.36,,10:49 AM,0
Rezé,FR,5.33,6.4,3.54,88,1029,Clouds,07:48 AM,04:17 PM,6.69,,10:51 AM,90
Pontivy,FR,4.42,5.53,3.14,79,1030,Clear,07:58 AM,04:19 PM,5.71,,10:51 AM,6
Pessac,FR,6.08,6.08,1.93,87,1027,Clear,07:35 AM,04:23 PM,1.54,,10:51 AM,4
Palaiseau,FR,4.37,5.48,3.34,98,1032,Fog,07:40 AM,03:56 PM,1.34,,10:51 AM,90
Ozoir-la-Ferrière,FR,4.15,5.17,3.2,99,1032,Mist,07:38 AM,03:54 PM,2.06,,10:51 AM,90
Oullins,FR,1.59,3.27,0.34,87,1030,Mist,07:17 AM,03:58 PM,1.03,,10:51 AM,90
Mougins,FR,11.47,14.71,9.87,52,1026,Clear,07:01 AM,03:57 PM,1.03,,10:48 AM,0
Morsang-sur-Orge,FR,4.57,5.56,3.6,98,1032,Mist,07:39 AM,03:56 PM,4.12,,10:51 AM,90
Montélimar,FR,3.19,6.05,0.54,65,1028,Clear,07:13 AM,04:02 PM,3.16,,10:51 AM,2
Montbéliard,FR,2.02,5.53,-0.4,69,1030,Clear,07:16 AM,03:43 PM,4.08,,10:51 AM,5
Maisons-Alfort,FR,4.7,5.62,3.66,97,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Louviers,FR,6.06,6.86,4.55,95,1033,Clouds,07:46 AM,03:58 PM,5.14,,10:47 AM,90
Limeil-Brévannes,FR,4.48,5.45,3.49,97,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Les Pavillons-sous-Bois,FR,4.57,5.38,3.88,94,1033,Clouds,07:39 AM,03:54 PM,1.79,,10:51 AM,90
Lattes,FR,8.15,8.32,7.55,75,1027,Clouds,07:13 AM,04:09 PM,3.09,,10:51 AM,90
Grigny,FR,4.35,5.36,3.4,99,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Goussainville,FR,4.57,5.26,3.76,94,1033,Clouds,07:40 AM,03:53 PM,4.12,,10:51 AM,75
Gien,FR,3.8,4.18,3.54,70,1030,Clear,07:34 AM,03:59 PM,4.57,,10:51 AM,4
Gagny,FR,4.64,5.47,3.97,94,1033,Clouds,07:39 AM,03:54 PM,5.14,,10:46 AM,90
Firminy,FR,-0.77,0.02,-0.79,93,1029,Mist,07:18 AM,04:01 PM,2.06,,10:51 AM,90
Échirolles,FR,7.25,9.5,-0.76,55,1027,Clear,07:11 AM,03:56 PM,0.47,,10:51 AM,2
Décines-Charpieu,FR,1.45,3.27,0.34,93,1030,Mist,07:17 AM,03:57 PM,1.03,,10:51 AM,90
Dammarie-les-Lys,FR,4.28,5.44,3.47,100,1032,Mist,07:37 AM,03:55 PM,2.06,,10:51 AM,90
Colombes,FR,4.85,5.6,4.04,96,1033,Fog,07:40 AM,03:55 PM,5.14,,10:51 AM,90
Cognac,FR,1.05,1.05,-0.29,93,1028,Clouds,07:38 AM,04:18 PM,5.14,,10:51 AM,75
Chenôve,FR,1.87,2.77,0.68,93,1030,Clouds,07:23 AM,03:51 PM,3.09,,10:51 AM,90
Chelles,FR,4.5,5.39,3.42,94,1033,Clouds,07:39 AM,03:54 PM,4.12,,10:51 AM,75
Cesson-Sévigné,FR,5.76,6.39,5.14,93,1031,Clouds,07:52 AM,04:14 PM,5.66,,10:51 AM,90
Cayenne,FR,5.17,6.17,3.86,91,1033,Clouds,07:46 AM,03:54 PM,5.45,,10:51 AM,74
Carvin,FR,5.49,6.64,4.56,89,1033,Mist,07:45 AM,03:45 PM,1.34,,10:51 AM,90
Bonneuil-sur-Marne,FR,4.64,5.6,3.64,97,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Belfort,FR,1.12,5.21,-0.72,68,1030,Clear,07:17 AM,03:42 PM,3.04,,10:51 AM,2
Bayeux,FR,5.15,7.55,5.14,84,1032,Clouds,07:54 AM,04:05 PM,5.56,,10:51 AM,23
Bagnolet,FR,4.49,5.31,3.75,96,1032,Mist,07:40 AM,03:54 PM,1.79,,10:49 AM,90
Autun,FR,0.49,2.35,-0.61,60,1029,Clear,07:24 AM,03:55 PM,1.6,,10:51 AM,0
Auch,FR,9.28,9.69,5.35,99,1026,Clear,07:26 AM,04:22 PM,0.62,,10:47 AM,0
Annecy-le-Vieux,FR,0.66,6.51,-0.09,93,1029,Clouds,07:13 AM,03:52 PM,0.51,,10:51 AM,90
Alfortville,FR,4.73,5.66,3.69,97,1032,Mist,07:39 AM,03:55 PM,4.12,,10:51 AM,90
Les Ulis,FR,3.85,5.2,2.85,98,1032,Mist,07:40 AM,03:56 PM,0.89,,10:51 AM,90
Saint-Jean-de-la-Ruelle,FR,4.17,5.28,2.78,94,1030,Mist,07:38 AM,04:01 PM,2.24,,10:51 AM,90
Saint-Herblain,FR,5.13,6.2,3.34,88,1029,Clouds,07:49 AM,04:18 PM,6.69,,10:51 AM,90
Saint-Étienne,FR,-1.36,-0.58,-2.37,93,1029,Mist,07:18 AM,04:00 PM,2.06,,10:50 AM,90
Saint-Cyr-sur-Loire,FR,3.95,4.14,3.36,91,1030,Clouds,07:40 AM,04:08 PM,5.14,,10:51 AM,90
Paris,FR,4.75,5.55,3.99,97,1032,Fog,07:40 AM,03:55 PM,1.79,,10:50 AM,90
Arrondissement de Boulogne-sur-Mer,FR,5.49,6.42,4.44,83,1034,Clouds,07:51 AM,03:48 PM,3.84,,10:51 AM,99
